,0
"('BE', 'Sea and coastal water transport')",12630.1319054
"('BE', 'Inland water transport')",1339.70674614
"('BE', 'Air transport (62)')",9906.20367502
"('BE', 'Supporting and auxiliary transport activities; activities of travel agencies (63)')",51419.0712653
"('BE', 'Post and telecommunications (64)')",12552.1123037
"('BE', 'Financial intermediation, except insurance and pension funding (65)')",23963.1324698
"('BE', 'Insurance and pension funding, except compulsory social security (66)')",16364.5769989
"('BE', 'Activities auxiliary to financial intermediation (67)')",21123.5015795
"('BE', 'Real estate activities (70)')",42814.0719619
"('BE', 'Renting of machinery and equipment without operator and of personal and household goods (71)')",22610.4695927
"('BE', 'Computer and related activities (72)')",31498.9067461
"('BE', 'Research and development (73)')",20567.6544921
"('BE', 'Other business activities (74)')",105347.589879
"('BE', 'Public administration and defence; compulsory social security (75)')",44585.0759682
"('BE', 'Education (80)')",35867.6233527
"('BE', 'Health and social work (85)')",44898.1105999
"('BE', 'Incineration of waste: Food')",1479.80259348
"('BE', 'Incineration of waste: Paper')",1586.10181856
"('BE', 'Incineration of waste: Plastic')",2353.93317933
"('BE', 'Incineration of waste: Metals and Inert materials')",5432.66056445
"('BE', 'Incineration of waste: Textiles')",336.876670174
"('BE', 'Incineration of waste: Wood')",563.370430404
"('BE', 'Incineration of waste: Oil/Hazardous waste')",2319.30706692
"('BE', 'Biogasification of food waste, incl. land application')",401.448160659
"('BE', 'Biogasification of paper, incl. land application')",49.0497264042
"('BE', 'Biogasification of sewage slugde, incl. land application')",927.509695743
"('BE', 'Composting of food waste, incl. land application')",2138.01082702
"('BE', 'Composting of paper and wood, incl. land application')",0.0
"('BE', 'Waste water treatment, food')",460.48054559
"('BE', 'Waste water treatment, other')",917.186892732
"('BE', 'Landfill of waste: Food')",393.962393354
"('BE', 'Landfill of waste: Paper')",354.461559873
"('BE', 'Landfill of waste: Plastic')",352.772923446
"('BE', 'Landfill of waste: Inert/metal/hazardous')",652.227743645
"('BE', 'Landfill of waste: Textiles')",42.9974709164
"('BE', 'Landfill of waste: Wood')",51.5761210034
"('BE', 'Activities of membership organisation n.e.c. (91)')",6794.22795227
"('BE', 'Recreational, cultural and sporting activities (92)')",7292.05173134
"('BE', 'Other service activities (93)')",5248.52284487
"('BE', 'Private households with employed persons (95)')",857.156969276
"('BE', 'Extra-territorial organizations and bodies')",0.0
"('BG', 'Cultivation of paddy rice')",51.145264149
"('BG', 'Cultivation of wheat')",1577.63444897
"('BG', 'Cultivation of cereal grains nec')",1229.12575556
"('BG', 'Cultivation of vegetables, fruit, nuts')",796.748575653
"('BG', 'Cultivation of oil seeds')",1599.30106199
"('BG', 'Cultivation of sugar cane, sugar beet')",1.78786552594
"('BG', 'Cultivation of plant-based fibers')",0.55497599155
"('BG', 'Cultivation of crops nec')",497.853464242
"('BG', 'Cattle farming')",181.253080839
"('BG', 'Pigs farming')",239.69863897
"('BG', 'Poultry farming')",529.214507511
"('BG', 'Meat animals nec')",234.018328923
"('BG', 'Animal products nec')",66.0787905247
"('BG', 'Raw milk')",1116.06485947
"('BG', 'Wool, silk-worm cocoons')",7.92071147139
"('BG', 'Manure treatment (conventional), storage and land application')",0.0
"('BG', 'Manure treatment (biogas), storage and land application')",0.0
"('BG', 'Forestry, logging and related service activities (02)')",785.675723596
"('BG', 'Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)')",114.938275099
"('BG', 'Mining of coal and lignite; extraction of peat (10)')",519.205275484
"('BG', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')",53.7162647422
"('BG', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')",48.1663072381
"('BG', 'Extraction, liquefaction, and regasification of other petroleum and gaseous materials')",62.1292123124
"('BG', 'Mining of uranium and thorium ores (12)')",0.0
"('BG', 'Mining of iron ores')",0.0
"('BG', 'Mining of copper ores and concentrates')",1452.0753296
"('BG', 'Mining of nickel ores and concentrates')",0.0
"('BG', 'Mining of aluminium ores and concentrates')",0.0
"('BG', 'Mining of precious metal ores and concentrates')",1282.10609304
"('BG', 'Mining of lead, zinc and tin ores and concentrates')",24.6545589016
"('BG', 'Mining of other non-ferrous metal ores and concentrates')",3.38325151577
"('BG', 'Quarrying of stone')",24.8649414799
"('BG', 'Quarrying of sand and clay')",180.618890339
"('BG', 'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.')",40.2476766345
"('BG', 'Processing of meat cattle')",197.301534174
"('BG', 'Processing of meat pigs')",458.162786218
"('BG', 'Processing of meat poultry')",515.15008237
"('BG', 'Production of meat products nec')",453.809240365
"('BG', 'Processing vegetable oils and fats')",188.907491045
"('BG', 'Processing of dairy products')",1361.45978896
"('BG', 'Processed rice')",10.1374900869
"('BG', 'Sugar refining')",1.62066717214
"('BG', 'Processing of Food products nec')",4469.59485605
"('BG', 'Manufacture of beverages')",2428.98695623
"('BG', 'Manufacture of fish products')",104.259429312
"('BG', 'Manufacture of tobacco products (16)')",872.636242412
"('BG', 'Manufacture of textiles (17)')",1632.13046373
"('BG', 'Manufacture of wearing apparel; dressing and dyeing of fur (18)')",2573.79975336
"('BG', 'Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)')",298.792995551
"('BG', 'Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)')",1220.66467053
"('BG', 'Re-processing of secondary wood material into new wood material')",0.0
"('BG', 'Pulp')",756.345793927
"('BG', 'Re-processing of secondary paper into new pulp')",0.0
"('BG', 'Paper')",687.625867969
"('BG', 'Publishing, printing and reproduction of recorded media (22)')",621.457461484
"('BG', 'Manufacture of coke oven products')",0.0
"('BG', 'Petroleum Refinery')",6330.30314664
"('BG', 'Processing of nuclear fuel')",0.0
"('BG', 'Plastics, basic')",104.684354291
"('BG', 'Re-processing of secondary plastic into new plastic')",0.0
"('BG', 'N-fertiliser')",0.288033778569
"('BG', 'P- and other fertiliser')",1921.24931494
"('BG', 'Chemicals nec')",1153.13227328
"('BG', 'Manufacture of rubber and plastic products (25)')",3566.48555196
"('BG', 'Manufacture of glass and glass products')",438.300650307
"('BG', 'Re-processing of secondary glass into new glass')",0.0
"('BG', 'Manufacture of ceramic goods')",234.52849011
"('BG', 'Manufacture of bricks, tiles and construction products, in baked clay')",113.620206563
"('BG', 'Manufacture of cement, lime and plaster')",1999.01552582
"('BG', 'Re-processing of ash into clinker')",0.0
"('BG', 'Manufacture of other non-metallic mineral products n.e.c.')",249.082228914
"('BG', 'Manufacture of basic iron and steel and of ferro-alloys and first products thereof')",0.0
"('BG', 'Re-processing of secondary steel into new steel')",143.375144485
"('BG', 'Precious metals production')",8.40426207775
"('BG', 'Re-processing of secondary preciuos metals into new preciuos metals')",0.0
"('BG', 'Aluminium production')",628.940460543
"('BG', 'Re-processing of secondary aluminium into new aluminium')",0.0
"('BG', 'Lead, zinc and tin production')",1784.41657499
"('BG', 'Re-processing of secondary lead into new lead, zinc and tin')",0.0
"('BG', 'Copper production')",6106.42018269
"('BG', 'Re-processing of secondary copper into new copper')",0.0
"('BG', 'Other non-ferrous metal production')",25.8849730703
"('BG', 'Re-processing of secondary other non-ferrous metals into new other non-ferrous metals')",0.0
"('BG', 'Casting of metals')",524.489291044
"('BG', 'Manufacture of fabricated metal products, except machinery and equipment (28)')",4259.20604691
"('BG', 'Manufacture of machinery and equipment n.e.c. (29)')",0.0
"('BG', 'Manufacture of office machinery and computers (30)')",831.546626219
"('BG', 'Manufacture of electrical machinery and apparatus n.e.c. (31)')",0.0
"('BG', 'Manufacture of radio, television and communication equipment and apparatus (32)')",0.0
"('BG', 'Manufacture of medical, precision and optical instruments, watches and clocks (33)')",0.0
"('BG', 'Manufacture of motor vehicles, trailers and semi-trailers (34)')",583.19412814
"('BG', 'Manufacture of other transport equipment (35)')",189.996874594
"('BG', 'Manufacture of furniture; manufacturing n.e.c. (36)')",17.6298947073
"('BG', 'Recycling of waste and scrap')",3.4556462463
"('BG', 'Recycling of bottles by direct reuse')",0.0
"('BG', 'Production of electricity by coal')",1427.0740276
"('BG', 'Production of electricity by gas')",242.088200107
"('BG', 'Production of electricity by nuclear')",1756.09005895
"('BG', 'Production of electricity by hydro')",297.857209573
"('BG', 'Production of electricity by wind')",156.005354081
"('BG', 'Production of electricity by petroleum and other oil derivatives')",33.9050227827
"('BG', 'Production of electricity by biomass and waste')",24.425835687
"('BG', 'Production of electricity by solar photovoltaic')",168.543953876
"('BG', 'Production of electricity by solar thermal')",0.0
"('BG', 'Production of electricity by tide, wave, ocean')",0.0
"('BG', 'Production of electricity by Geothermal')",0.0
"('BG', 'Production of electricity nec')",0.0
"('BG', 'Transmission of electricity')",1212.49049741
"('BG', 'Distribution and trade of electricity')",3171.73447327
"('BG', 'Manufacture of gas; distribution of gaseous fuels through mains')",21.0978221571
"('BG', 'Steam and hot water supply')",299.287587114
"('BG', 'Collection, purification and distribution of water (41)')",986.396558022
"('BG', 'Construction (45)')",10734.5791646
"('BG', 'Re-processing of secondary construction material into aggregates')",0.0
"('BG', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')",2378.43403301
"('BG', 'Retail sale of automotive fuel')",3629.03220829
"('BG', 'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)')",20729.6165975
"('BG', 'Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)')",9621.9324971
"('BG', 'Hotels and restaurants (55)')",5806.52318818
"('BG', 'Transport via railways')",4135.26548906
"('BG', 'Other land transport')",11727.9462755
"('BG', 'Transport via pipelines')",548.643759447
"('BG', 'Sea and coastal water transport')",218.96804457
"('BG', 'Inland water transport')",12.5560407249
"('BG', 'Air transport (62)')",1398.85030089
"('BG', 'Supporting and auxiliary transport activities; activities of travel agencies (63)')",6193.15679404
"('BG', 'Post and telecommunications (64)')",1305.97958528
"('BG', 'Financial intermediation, except insurance and pension funding (65)')",0.00806887630516
"('BG', 'Insurance and pension funding, except compulsory social security (66)')",226.751073878
"('BG', 'Activities auxiliary to financial intermediation (67)')",108.032794746
"('BG', 'Real estate activities (70)')",835.528066414
"('BG', 'Renting of machinery and equipment without operator and of personal and household goods (71)')",0.00117700134258
"('BG', 'Computer and related activities (72)')",5698.04579313
"('BG', 'Research and development (73)')",45.7047950942
"('BG', 'Other business activities (74)')",474.152651941
"('BG', 'Public administration and defence; compulsory social security (75)')",505.892266631
"('BG', 'Education (80)')",40504.4525536
"('BG', 'Health and social work (85)')",444.042366782
"('BG', 'Incineration of waste: Food')",0.0
"('BG', 'Incineration of waste: Paper')",0.0
"('BG', 'Incineration of waste: Plastic')",0.0
"('BG', 'Incineration of waste: Metals and Inert materials')",0.0
"('BG', 'Incineration of waste: Textiles')",0.0
"('BG', 'Incineration of waste: Wood')",0.0
"('BG', 'Incineration of waste: Oil/Hazardous waste')",0.0
"('BG', 'Biogasification of food waste, incl. land application')",0.0
